title,state_name,ideology,year,city,lat,lon
The Israelite Church of God in Jesus Christ,Florida,Black Nationalist,2015,Miami,25.784,-80.2102
The Israelite Church of God in Jesus Christ,Minnesota,Black Nationalist,2015,Minneapolis,44.9635,-93.2678
The Israelite Church of God in Jesus Christ,New York,Black Nationalist,2015,New York,40.6943,-73.9249
The Israelite Church of God in Jesus Christ,Oklahoma,Black Nationalist,2015,Oklahoma City,35.4676,-97.5136
The Israelite Church of God in Jesus Christ,Nebraska,Black Nationalist,2015,Omaha,41.2628,-96.0495
The Israelite Church of God in Jesus Christ,Florida,Black Nationalist,2015,Orlando,28.4788,-81.342
The Israelite Church of God in Jesus Christ,Pennsylvania,Black Nationalist,2015,Pittsburgh,40.4396,-79.9763
The Israelite Church of God in Jesus Christ,Oregon,Black Nationalist,2015,Portland,45.5372,-122.65
The Israelite Church of God in Jesus Christ,District of Columbia,Black Nationalist,2015,Washington,38.9047,-77.0163
The Israelite Church of God in Jesus Christ,Florida,Black Nationalist,2015,West Palm Beach,26.7467,-80.1314
The Israelite Church of God in Jesus Christ,North Carolina,Black Nationalist,2015,Wilmington,34.21,-77.886
Israelite School of Universal and Practical Knowledge,Georgia,Black Nationalist,2015,Atlanta,33.7626,-84.4228
Israelite School of Universal and Practical Knowledge,Illinois,Black Nationalist,2015,Chicago,41.8373,-87.6861
Israelite School of Universal and Practical Knowledge,Indiana,Black Nationalist,2015,Indianapolis,39.7771,-86.1458
Israelite School of Universal and Practical Knowledge,New York,Black Nationalist,2015,New York,40.6943,-73.9249
Israelite School of Universal and Practical Knowledge,Oregon,Black Nationalist,2015,Oregon City,45.3418,-122.5938
Israelite School of Universal and Practical Knowledge,Pennsylvania,Black Nationalist,2015,Philadelphia,40.0076,-75.134
Israelite School of Universal and Practical Knowledge,California,Black Nationalist,2015,San Diego,32.8312,-117.1226
Israelite School of Universal and Practical Knowledge,New York,Black Nationalist,2015,Syracuse,43.0409,-76.1438
Israelite School of Universal and Practical Knowledge,District of Columbia,Black Nationalist,2015,Washington,38.9047,-77.0163
Israelite School of Universal Practical Knowledge,Maryland,Black Nationalist,2015,Baltimore,39.3051,-76.6144
Jamaat al-Muslimeen,Maryland,General Hate,2015,Baltimore,39.3051,-76.6144
Jewish Political Action Committee,New York,Anti-LGBT,2015,New York,40.6943,-73.9249
Karolina Knights of the KKK,North Carolina,Ku Klux Klan,2015,Holly Springs,35.6542,-78.8402
Keystone State Skinheads,Pennsylvania,Racist Skinhead,2015,Harrisburg,40.2752,-76.8843
Keystone State Skinheads,Pennsylvania,Racist Skinhead,2015,Philadelphia,40.0076,-75.134
Kingdom Identity Ministries,Arkansas,Christian Identity,2015,Harrison,36.2437,-93.1197
Kingdom Treasure Ministries,Oklahoma,Neo-Confederate,2015,Owasso,36.2886,-95.8319
Kinsman Redeemer Ministries,Kentucky,Christian Identity,2015,Alexandria,38.9622,-84.386
KKKRadio,Arkansas,Ku Klux Klan,2015,Harrison,36.2437,-93.1197
Knights of the Ku Klux Klan,Arkansas,Ku Klux Klan,2015,Harrison,36.2437,-93.1197
Knights Party Veterans League,Arkansas,Ku Klux Klan,2015,Harrison,36.2437,-93.1197
Ku Klos Knights of the KKK,Pennsylvania,Ku Klux Klan,2015,Bally,40.4004,-75.5875
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Belvidere,35.1293,-86.1867
Ku Klos Knights of the KKK,Florida,Ku Klux Klan,2015,Cape Coral,26.6444,-81.9956
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Chattanooga,35.0657,-85.2488
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Church Hill,36.5206,-82.7142
Ku Klos Knights of the KKK,Colorado,Ku Klux Klan,2015,Colorado Springs,38.8674,-104.7606
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Erwin,36.1456,-82.4115
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Franklin,35.9214,-86.8524
Ku Klos Knights of the KKK,Texas,Ku Klux Klan,2015,Gatesville,31.4419,-97.7351
Ku Klos Knights of the KKK,Kentucky,Ku Klux Klan,2015,Harrodsburg,37.7654,-84.8474
Ku Klos Knights of the KKK,Alabama,Ku Klux Klan,2015,Hazel Green,34.9237,-86.5671
Ku Klos Knights of the KKK,North Carolina,Ku Klux Klan,2015,Hickory,35.7427,-81.3233
Ku Klos Knights of the KKK,Florida,Ku Klux Klan,2015,Hudson,28.3594,-82.6888
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Kingsport,36.522,-82.5453
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Knoxville,35.9692,-83.9495
Ku Klos Knights of the KKK,Indiana,Ku Klux Klan,2015,Kokomo,40.464,-86.1277
